datetime;open;high;low;close;volume
2013-05-30;132.25;132.4;126.5;128.8;3195601.21
2013-05-31;128.8;130.0;126.33;128.82;2124938.29
2013-06-01;128.82;129.79;127.1;129.3;816323.15
2013-06-02;129.3;130.1;115.0;122.5;12335011.09
2013-06-03;122.5;122.78;115.11;120.74;3439235.99
2013-06-04;120.74;123.99;118.79;121.4;2657125.26
2013-06-05;121.4;123.5;119.5;121.9;2021380.33
2013-06-06;121.9;123.3;117.0;118.97;2646311.9
2013-06-07;118.97;119.13;106.15;111.0;7372031.58
2013-06-08;111.0;113.19;107.0;107.89;1874098.59
2013-06-09;107.89;108.99;88.0;100.44;14647793.51
2013-06-10;100.44;110.63;95.0;106.35;6786321.13
2013-06-11;106.35;109.6;103.23;109.0;1727992.79
2013-06-12;109.0;112.25;106.0;108.78;1934487.77
2013-06-13;108.78;110.3;100.3;103.95;3204375.98
2013-06-14;103.95;104.7;97.1;100.0;3629511.97
2013-06-15;100.0;103.7;97.5;99.8;2264105.8
2013-06-16;99.8;101.75;98.9;99.9;865174.26
2013-06-17;99.9;102.4;98.9;101.95;1534858.36
2013-06-18;101.95;113.3;101.03;107.35;6510457.59
2013-06-19;107.35;110.99;104.66;108.25;1895919.66
2013-06-20;108.25;114.48;107.12;111.29;4795256.0
2013-06-21;111.29;115.01;107.56;109.5;4241011.23
2013-06-22;109.5;109.96;107.51;108.2;791157.38
2013-06-23;108.2;109.0;106.2;107.9;1188748.75
2013-06-24;107.9;108.33;100.76;102.09;2986235.69
2013-06-25;102.09;109.98;100.0;103.33;9760027.88
2013-06-26;103.33;105.49;101.83;104.0;1378467.48
2013-06-27;104.0;104.0;100.06;101.74;1505488.31
2013-06-28;101.74;101.79;92.25;94.66;4625623.21
2013-06-29;94.66;100.44;93.0;95.0;2469705.23
2013-06-30;95.0;98.12;93.85;97.51;831721.0
2013-07-01;97.51;98.18;86.01;88.05;4854051.15
2013-07-02;88.05;92.57;87.51;90.41;2501192.46
2013-07-03;90.41;91.2;76.0;78.89;6126930.46
2013-07-04;78.89;84.27;72.0;80.04;4976159.48
2013-07-05;80.04;80.6;65.42;68.5;6478104.22
2013-07-06;68.5;75.0;66.81;69.66;2885730.42
2013-07-07;69.66;77.0;66.6;76.5;3040545.31
2013-07-08;76.5;80.0;72.46;76.0;4542089.51
2013-07-09;76.0;78.3;72.51;76.7;2462927.54
2013-07-10;76.7;89.84;75.53;88.0;4950378.77
2013-07-11;88.0;90.7;85.0;88.98;3115116.32
2013-07-12;88.98;104.17;88.0;93.99;9793701.36
2013-07-13;93.99;98.32;87.76;98.32;3206472.43
2013-07-14;98.32;99.0;92.86;94.42;1183919.46
2013-07-15;94.42;101.94;93.11;98.89;3407701.6
2013-07-16;98.89;100.73;96.0;97.1;1626929.42
2013-07-17;97.1;100.0;96.18;98.5;1702482.31
2013-07-18;98.5;98.8;86.2;90.07;5415947.78
2013-07-19;90.07;95.2;87.6;92.0;2547076.46
2013-07-20;92.0;93.1;89.27;89.82;865043.98
2013-07-21;89.82;92.0;88.0;92.0;785274.73
2013-07-22;92.0;92.0;89.8;91.6;839143.47
2013-07-23;91.6;97.13;91.6;95.56;2333940.6
2013-07-24;95.56;95.99;92.3;95.09;1382398.98
2013-07-25;95.09;97.48;93.57;96.95;2171816.31
2013-07-26;96.95;97.48;96.0;96.02;1079418.72
2013-07-27;96.02;97.0;93.0;94.4;1430771.56
2013-07-28;94.4;100.58;94.0;98.78;4160191.75
2013-07-29;98.78;102.85;98.45;101.48;2499727.28
2013-07-30;101.48;107.99;100.47;107.96;2893318.45
2013-07-31;107.96;111.65;103.55;106.21;4916334.31
2013-08-01;106.21;108.0;103.0;104.0;1580804.09
2013-08-02;104.0;108.0;101.21;104.5;2893759.53
2013-08-03;104.5;105.89;102.0;104.95;923169.73
2013-08-04;104.95;106.0;103.5;105.12;670427.87
2013-08-05;105.12;107.77;105.0;106.72;1647464.84
2013-08-06;106.72;107.5;105.11;106.56;1424757.18
2013-08-07;106.56;106.96;105.22;105.99;819975.71
2013-08-08;105.99;106.65;100.96;103.05;2481342.52
2013-08-09;103.05;105.79;101.94;102.8;1238426.09
2013-08-10;102.8;103.9;102.38;103.0;411941.84
2013-08-11;103.0;105.19;102.7;105.0;853962.41
2013-08-12;105.0;108.12;103.5;106.81;2131117.5
2013-08-13;106.81;109.64;104.5;109.6;2014623.79
2013-08-14;109.6;115.0;108.0;112.56;5689765.67
2013-08-15;112.56;113.32;108.78;109.99;1759713.2
2013-08-16;109.99;112.3;108.21;108.99;1484874.96
2013-08-17;108.99;114.0;108.23;112.75;1430522.61
2013-08-18;112.75;114.69;112.0;113.38;1093513.42
2013-08-19;113.38;123.75;111.77;118.5;6273089.32
2013-08-20;118.5;123.01;116.82;121.2;2926824.42
2013-08-21;121.2;125.0;119.68;123.3;3760529.85
2013-08-22;123.3;124.49;120.54;122.0;1695452.38
2013-08-23;122.0;122.0;118.44;118.51;2324780.73
2013-08-24;118.51;121.39;118.02;119.6;1068849.31
2013-08-25;119.6;122.99;119.14;122.11;904128.28
2013-08-26;122.11;122.97;119.92;120.07;1386290.18
2013-08-27;120.07;133.0;120.0;131.29;6882690.55
2013-08-28;131.29;131.72;128.02;128.76;1627390.74
2013-08-29;128.76;131.2;128.18;129.3;1059179.58
2013-08-30;129.3;142.76;128.56;138.03;6269713.01
2013-08-31;138.03;148.7;135.89;141.0;4452962.63
2013-09-01;141.0;147.29;141.0;146.01;2035993.0
2013-09-02;146.01;148.5;142.11;144.0;1546327.08
2013-09-03;144.0;148.91;142.2;144.0;2461257.61
2013-09-04;144.0;145.8;130.09;132.51;3945752.94
2013-09-05;132.51;137.97;127.24;130.2;3561373.61
